,posicionamento,Regiao,ano,voto_count,Total,voto_norm
0,Centro,Centro-Oeste,2003,286,83943.0,0.3407073847730007
100,Centro-direita,Centro-Oeste,2003,92,83943.0,0.10959817971718903
200,Centro-esquerda,Centro-Oeste,2003,4,83943.0,0.004765138248573437
296,Direita,Centro-Oeste,2003,183,83943.0,0.21800507487223475
396,Esquerda,Centro-Oeste,2003,200,83943.0,0.23825691242867184
1,Centro,Centro-Oeste,2004,559,83943.0,0.6659280702381378
101,Centro-direita,Centro-Oeste,2004,236,83943.0,0.2811431566658328
201,Centro-esquerda,Centro-Oeste,2004,43,83943.0,0.05122523617216444
297,Direita,Centro-Oeste,2004,430,83943.0,0.5122523617216445
397,Esquerda,Centro-Oeste,2004,523,83943.0,0.6230418260009769
2,Centro,Centro-Oeste,2005,410,83943.0,0.48842667047877725
102,Centro-direita,Centro-Oeste,2005,251,83943.0,0.29901242509798315
202,Centro-esquerda,Centro-Oeste,2005,29,83943.0,0.03454725230215742
298,Direita,Centro-Oeste,2005,274,83943.0,0.32641197002728045
398,Esquerda,Centro-Oeste,2005,353,83943.0,0.4205234504366058
3,Centro,Centro-Oeste,2006,535,83943.0,0.6373372407466972
103,Centro-direita,Centro-Oeste,2006,390,83943.0,0.46460097923591004
203,Centro-esquerda,Centro-Oeste,2006,27,83943.0,0.0321646831778707
299,Direita,Centro-Oeste,2006,281,83943.0,0.33475096196228393
399,Esquerda,Centro-Oeste,2006,392,83943.0,0.46698354836019684
4,Centro,Centro-Oeste,2007,586,83943.0,0.6980927534160085
104,Centro-direita,Centro-Oeste,2007,201,83943.0,0.2394481969908152
300,Direita,Centro-Oeste,2007,620,83943.0,0.7385964285288827
400,Esquerda,Centro-Oeste,2007,435,83943.0,0.5182087845323613
5,Centro,Centro-Oeste,2008,450,83943.0,0.5360780529645117
105,Centro-direita,Centro-Oeste,2008,124,83943.0,0.14771928570577655
301,Direita,Centro-Oeste,2008,650,83943.0,0.7743349653931835
401,Esquerda,Centro-Oeste,2008,427,83943.0,0.5086785080352144
6,Centro,Centro-Oeste,2009,549,83943.0,0.6540152246167042
106,Centro-direita,Centro-Oeste,2009,221,83943.0,0.26327388823368236
204,Centro-esquerda,Centro-Oeste,2009,101,83943.0,0.12031974077647926
302,Direita,Centro-Oeste,2009,929,83943.0,1.1067033582311807
402,Esquerda,Centro-Oeste,2009,533,83943.0,0.6349546716224105
7,Centro,Centro-Oeste,2010,274,83943.0,0.32641197002728045
107,Centro-direita,Centro-Oeste,2010,91,83943.0,0.10840689515504567
205,Centro-esquerda,Centro-Oeste,2010,49,83943.0,0.058372943545024605
303,Direita,Centro-Oeste,2010,481,83943.0,0.5730078743909558
403,Esquerda,Centro-Oeste,2010,265,83943.0,0.31569040896799017
8,Centro,Centro-Oeste,2011,1034,83943.0,1.2317882372562334
108,Centro-direita,Centro-Oeste,2011,229,83943.0,0.27280416473082925
206,Centro-esquerda,Centro-Oeste,2011,150,83943.0,0.17869268432150387
304,Direita,Centro-Oeste,2011,215,83943.0,0.25612618086082223
404,Esquerda,Centro-Oeste,2011,443,83943.0,0.5277390610295081
9,Centro,Centro-Oeste,2012,932,83943.0,1.1102772119176108
109,Centro-direita,Centro-Oeste,2012,127,83943.0,0.15129313939220662
207,Centro-esquerda,Centro-Oeste,2012,142,83943.0,0.16916240782435701
305,Direita,Centro-Oeste,2012,164,83943.0,0.1953706681915109
405,Esquerda,Centro-Oeste,2012,269,83943.0,0.3204555472165636
10,Centro,Centro-Oeste,2013,1905,83943.0,2.2693970908830994
110,Centro-direita,Centro-Oeste,2013,225,83943.0,0.26803902648225586
208,Centro-esquerda,Centro-Oeste,2013,288,83943.0,0.34308995389728747
306,Direita,Centro-Oeste,2013,288,83943.0,0.34308995389728747
406,Esquerda,Centro-Oeste,2013,559,83943.0,0.6659280702381378
11,Centro,Centro-Oeste,2014,1045,83943.0,1.2448923674398105
111,Centro-direita,Centro-Oeste,2014,158,83943.0,0.18822296081865075
209,Centro-esquerda,Centro-Oeste,2014,117,83943.0,0.13938029377077302
307,Direita,Centro-Oeste,2014,26,83943.0,0.030973398615727336
407,Esquerda,Centro-Oeste,2014,310,83943.0,0.36929821426444137
